,hex1_id,hex2_id,bin_depth,x,y,z,roi
22997,19,16,47,20766.99888580733,35419.127810478676,40898.94214122785,LOP_R
22998,19,16,48,20771.089080777954,35410.16145853285,40973.26705516116,LOP_R
22999,19,16,49,20775.18729274497,35401.2245293987,41047.57637608155,LOP_R
23000,19,16,50,20779.293205678452,35392.31232280231,41121.86987425566,LOP_R
23001,19,17,0,20148.148762082037,34783.35234882799,37426.910704896334,LOP_R
23002,19,17,1,20151.032748155954,34777.14601297276,37501.11669619424,LOP_R
23003,19,17,2,20153.881686136927,34770.903521849075,37575.30837494968,LOP_R
23004,19,17,3,20156.421925461236,34764.6311343885,37649.50653325783,LOP_R
23005,19,17,4,20159.323732377175,34758.33510952259,37723.723214927195,LOP_R
23006,19,17,5,20161.841497915022,34752.02170618286,37797.94961872067,LOP_R
23007,19,17,6,20164.21654309216,34745.69718330087,37872.18615624801,LOP_R
23008,19,17,7,20167.085070667224,34739.36779980818,37946.433239119026,LOP_R
23009,19,17,8,20169.936848255733,34733.0398146363,38020.691278943515,LOP_R
23010,19,17,9,20172.74517703344,34726.719486716815,38094.960687331244,LOP_R
23011,19,17,10,20175.489542629144,34720.412266975596,38169.241875892025,LOP_R
23012,19,17,11,20178.229186544322,34714.111693750994,38243.53525623564,LOP_R
23013,19,17,12,20180.400015759344,34708.02815103031,38317.84123997189,LOP_R
23014,19,17,13,20182.942384524136,34702.23078476845,38392.160238710545,LOP_R
23015,19,17,14,20186.695885995552,34696.49751672288,38466.49266406141,LOP_R
23016,19,17,15,20190.62688886142,34690.82438207638,38540.840361398754,LOP_R
23017,19,17,16,20194.716337110633,34685.20741601174,38615.206257643316,LOP_R
23018,19,17,17,20199.87126161079,34679.64265371173,38689.589142879835,LOP_R
23019,19,17,18,20205.573481193605,34674.12613035915,38763.98764002989,LOP_R
23020,19,17,19,20211.585168293117,34668.65388113678,38838.400372015065,LOP_R
23021,19,17,20,20217.861165255432,34663.22197322393,38912.825961756935,LOP_R
23022,19,17,21,20224.356314426648,34657.83909556009,38987.261850494535,LOP_R
23023,19,17,22,20227.83310107326,34652.508344071655,39061.70508804485,LOP_R
23024,19,17,23,20230.5501000024,34647.220984272106,39136.1546966183,LOP_R
23025,19,17,24,20233.261960386284,34641.96828167492,39210.60971969235,LOP_R
23026,19,17,25,20237.142794266634,34636.741501793585,39285.07807598182,LOP_R
23027,19,17,26,20242.848237700597,34631.53191014157,39359.59408528658,LOP_R
23028,19,17,27,20248.6776091016,34626.330953961864,39434.11476458912,LOP_R
23029,19,17,28,20254.63947920039,34621.14464906874,39508.6383196879,LOP_R
23030,19,17,29,20259.38513270043,34615.976589266415,39583.16295638141,LOP_R
23031,19,17,30,20263.498138591534,34610.822240973175,39657.686880468114,LOP_R
23032,19,17,31,20267.616931030563,34605.67707060731,39732.20829774648,LOP_R
23033,19,17,32,20271.738390108305,34600.5365445871,39806.72541401498,LOP_R
23034,19,17,33,20275.85939591556,34595.39612933083,39881.23643507209,LOP_R
23035,19,17,34,20279.97682854313,34590.25129125678,39955.74114343264,LOP_R
23036,19,17,35,20284.087568081803,34585.097496783244,40030.24839728975,LOP_R
23037,19,17,36,20288.18849462238,34579.9302123285,40104.760223024736,LOP_R
23038,19,17,37,20292.276488255662,34574.74490431083,40179.27704036164,LOP_R
23039,19,17,38,20296.348429072437,34569.343220178656,40253.799269024516,LOP_R
23040,19,17,39,20300.291015381965,34563.872709652045,40328.3273287374,LOP_R
23041,19,17,40,20303.937830816343,34558.43338406237,40402.86163922435,LOP_R
23042,19,17,41,20307.531581829717,34553.03268620719,40477.4026202094,LOP_R
23043,19,17,42,20311.078890220968,34547.67319223254,40551.95069141662,LOP_R
23044,19,17,43,20314.58233955232,34542.3574782845,40626.50716358852,LOP_R
23045,19,17,44,20318.044247926828,34537.08812050913,40700.980205312226,LOP_R
23046,19,17,45,20321.466933447547,34531.86769505249,40775.37298835223,LOP_R
23047,19,17,46,20324.852714217537,34526.698778060665,40849.76272030384,LOP_R
23048,19,17,47,20328.203908339856,34521.5839456797,40924.14936925774,LOP_R
23049,19,17,48,20331.522833917552,34516.52577405566,40998.532903304564,LOP_R
23050,19,17,49,20334.81180905369,34511.52683933464,41072.91329053501,LOP_R
23051,19,17,50,20338.073151851313,34506.45246189883,41146.93069034093,LOP_R
23052,19,18,0,20499.403972223605,34053.611439562934,37524.51666725592,LOP_R
23053,19,18,1,20503.334800486246,34051.89673903163,37598.24055028946,LOP_R
23054,19,18,2,20507.307773490433,34049.99109700534,37671.97498348137,LOP_R
23055,19,18,3,20511.110753147852,34047.902596318985,37745.71964545524,LOP_R
23056,19,18,4,20515.001473562843,34045.71671174112,37819.460900002814,LOP_R
23057,19,18,5,20518.88566089989,34043.40014397925,37893.10364170007,LOP_R
23058,19,18,6,20522.76285728017,34040.94039070499,37966.70380083189,LOP_R
